File generated on // Fichier créé sur, 2025-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, NO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-07,4,12,4,6,2,2,2,3,4,4,3,3,6,16,7,35,18,14,5,5,4,3,4,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-08,2,3,2,1,2,2,4,3,4,3,4,4,4,4,3,2,3,3,3,2,2,2,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-09,2,2,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,1,1,2,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-10,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-11,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-12,2,1,1,1,1,3,2,1,1,1,1,1,6,11,2,2,2,2,2,2,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-13,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,3,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-14,2,2,2,2,3,8,12,5,2,2,2,2,2,2,1,3,4,10,3,4,3,3,4,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-15,6,5,5,9,5,8,17,11,9,8,8,6,6,7,7,4,5,8,14,6,4,5,6,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-16,3,4,4,9,12,17,17,9,7,11,11,11,9,11,19,11,7,16,28,24,20,19,20,21
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-17,22,19,10,5,3,3,4,4,4,3,5,3,3,3,3,3,3,4,3,2,2,2,2,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-18,2,3,2,2,2,1,1,2,2,1,1,1,1,1,2,3,2,4,6,4,6,7,12,24
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-19,19,17,15,12,13,20,7,5,12,7,14,17,4,1,2,2,2,2,3,3,4,3,3,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-20,1,1,1,1,1,1,3,3,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-21,1,1,1,1,1,3,2,2,2,2,2,2,2,3,2,2,5,3,4,3,2,2,2,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-22,4,5,4,4,2,2,3,3,3,2,2,2,4,2,2,14,12,19,18,16,11,4,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-23,2,1,1,1,2,2,2,4,3,2,2,2,2,1,2,2,2,3,6,11,14,14,12,13
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-24,12,14,16,20,23,29,12,10,17,9,3,3,3,3,4,5,3,5,7,5,5,3,4,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-25,4,2,4,1,2,1,2,1,1,1,1,1,1,3,2,1,1,2,1,1,1,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-26,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,3,2,2,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-27,1,2,2,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,4,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-28,4,3,2,1,1,2,3,3,2,3,3,3,2,2,2,3,3,2,3,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-29,1,1,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,3,2,2,4,2,2,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-30,5,4,4,3,4,9,19,10,3,3,9,14,15,16,5,5,7,14,3,3,3,3,3,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-31,4,6,7,1,3,5,8,10,12,13,15,10,6,8,4,10,16,5,8,15,16,12,10,13
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-01,6,3,4,3,4,10,11,8,4,1,2,2,1,2,2,2,2,3,3,2,2,2,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-02,1,1,0,1,1,1,8,2,2,1,1,2,2,2,2,3,3,2,3,3,3,2,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-03,1,1,1,1,2,5,5,4,3,2,3,2,2,3,3,3,3,3,2,1,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-04,1,2,2,1,3,3,6,9,5,4,4,3,3,3,3,3,3,2,3,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-05,2,3,1,1,2,2,7,7,4,2,3,1,1,1,1,2,2,2,3,6,5,3,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-06,1,1,2,2,3,5,10,5,3,3,2,1,2,2,2,2,3,2,4,4,3,3,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-07,1,1,1,1,1,1,2,3,4,7,6,2,3,2,2,3,3,3,2,2,2,2,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-08,1,1,2,1,1,2,3,1,1,1,1,1,1,2,2,2,1,1,2,2,3,3,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-09,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-10,1,2,2,3,3,3,5,5,3,4,4,4,-999,4,3,2,2,4,10,14,19,12,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-11,2,1,2,2,2,4,5,6,5,-999,-999,-999,3,4,4,3,3,4,2,2,2,2,6,5
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-12,11,18,33,7,26,32,31,23,16,7,8,4,6,6,5,4,2,4,4,7,10,9,5,10
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-13,12,23,11,7,5,10,7,4,4,3,3,3,3,3,3,3,6,3,3,3,4,4,5,5
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-14,2,2,2,2,3,3,8,8,6,5,2,2,2,2,2,2,2,3,3,3,2,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-16,3,3,3,3,2,2,2,1,1,1,1,1,1,1,6,10,7,11,7,6,3,7,5,9
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-17,11,8,9,9,11,14,22,21,14,6,4,6,19,18,23,7,4,2,5,4,5,8,4,9
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-18,11,17,15,16,19,23,27,32,25,22,15,16,22,11,13,10,8,9,8,11,5,10,8,10
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-19,7,4,8,10,21,8,9,10,11,9,6,8,6,6,12,8,11,11,9,8,8,11,10,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-20,1,1,1,5,6,6,10,7,7,12,19,19,9,12,11,7,9,5,11,12,10,11,12,11
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-21,11,11,8,7,4,5,4,4,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-22,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,3,2,3,3,2,2,3,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-23,4,4,2,2,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-24,1,2,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-25,1,1,1,1,1,1,2,3,4,5,3,8,4,3,3,3,3,3,2,3,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-26,2,2,1,1,1,1,2,4,4,4,3,2,2,3,3,2,3,2,2,3,3,2,2,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-27,2,2,1,1,1,2,2,5,2,3,2,2,2,3,2,2,2,8,12,3,3,2,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-28,1,2,1,1,2,2,2,3,3,4,2,3,2,2,2,2,2,3,2,2,3,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-29,2,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,3,2,2,2,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-04-30,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-01,1,2,3,1,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-02,2,1,1,1,1,2,2,3,2,3,3,6,3,2,3,3,2,2,2,3,2,3,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-03,2,3,2,2,2,2,3,4,17,16,12,10,6,3,6,4,3,6,5,4,8,3,2,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-04,2,1,1,1,1,3,5,5,5,5,8,3,4,3,3,4,3,2,2,3,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-05,1,2,2,1,2,2,2,3,2,3,3,2,3,2,2,3,2,2,3,3,3,4,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-06,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,2,3,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-07,3,4,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-08,1,1,1,1,1,1,2,2,2,2,3,2,3,3,2,2,1,1,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-09,1,1,1,1,1,3,13,33,8,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-10,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-11,1,2,2,3,4,6,3,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-12,1,2,2,2,3,5,6,5,6,7,5,4,4,7,6,7,8,11,19,21,20,12,4,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-13,3,3,4,7,4,4,3,9,1,2,1,1,1,1,1,1,1,1,2,1,3,2,3,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-14,4,9,1,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-15,0,0,0,0,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-16,1,1,1,1,1,1,6,5,4,3,3,2,2,2,2,2,2,1,1,2,2,2,7,32
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-17,16,15,1,1,2,5,2,2,2,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-18,0,0,0,0,1,1,4,3,2,1,1,1,1,1,2,1,2,1,1,3,3,5,4,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-19,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-20,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-21,1,1,1,1,0,0,0,0,1,0,1,0,1,2,1,0,0,0,1,1,1,0,0,0
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-22,0,0,0,0,0,0,1,1,1,2,1,1,3,21,4,3,3,5,6,7,5,8,7,7
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-23,5,5,7,10,10,12,5,6,8,8,7,6,4,5,3,3,2,2,2,2,3,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-24,2,1,1,1,1,1,2,2,3,5,3,3,2,3,6,8,5,5,9,3,2,3,4,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-25,3,4,5,4,4,6,17,15,14,8,5,4,5,8,6,6,5,7,6,6,6,5,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-26,3,3,2,5,5,4,6,4,5,5,11,5,8,7,10,24,28,18,13,13,2,2,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-27,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,4,3,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-28,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-29,1,1,1,2,3,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-30,2,1,1,2,6,5,1,2,1,2,-999,1,8,10,13,11,7,6,7,3,12,5,4,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-05-31,1,2,5,5,4,4,7,12,8,16,14,8,19,13,17,7,10,15,20,25,21,11,15,13
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-01,10,10,12,16,16,3,9,9,8,9,8,10,10,12,9,11,18,8,16,17,8,5,5,6
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-02,11,2,10,17,4,16,4,18,11,6,14,17,11,12,10,15,8,7,3,4,3,5,4,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-03,2,4,6,3,4,3,4,2,5,5,10,7,4,4,6,3,6,4,5,7,13,3,8,6
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-04,8,7,11,7,7,6,6,3,2,2,2,1,3,2,2,3,2,3,3,4,3,3,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-05,4,9,3,3,2,4,6,15,14,20,17,17,13,9,17,11,12,14,20,10,6,5,8,10
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-06,6,7,4,3,11,15,14,15,14,10,8,12,13,7,10,9,7,4,5,13,15,4,4,6
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-07,3,9,15,23,20,18,18,16,15,10,16,17,-999,13,13,13,18,27,21,19,27,31,19,9
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-06-08,13,14,16,18,5,11,20,18,16,6,6,7,6,5,8,17,12,9,15,15,17,18,29,25
